name,glycemic_index,carbohydrates,fiber,protein,fat,processing_level,serving_size_grams
cabbage cruciferous boiled,20,6.0,2.0,2.0,0.2,whole,98
deli turkey poached,0,0.3,0.0,28.5,7.5,minimally_processed,93
serrano pepper pickled,20,5.6,1.9,1.4,0.4,whole,155
arborio rice boiled,94,21.5,1.7,2.6,0.9,processed,146
russet potato steamed,62,19.8,2.2,2.5,4.9,processed,135
portobello mushroom steamed,13,3.5,1.9,2.1,0.3,whole,73
tenderloin pork smoked,0,1.3,0.0,22.1,9.8,processed,101
ravioli pasta al dente,38,22.8,2.4,4.1,0.8,processed,130
acorn squash steamed,58,5.6,2.8,1.3,0.2,whole,117
bell green pepper sauteed,18,4.1,2.2,1.5,0.3,whole,141
potato chips plain,67,59.9,3.4,7.5,26.2,ultra_processed,27
reuben sandwich on wheat,52,41.9,2.3,32.8,16.4,processed,155
gnocchi pasta overcooked,47,20.0,2.9,4.4,1.4,processed,142
italian sausage braised,3,0.4,0.0,21.4,34.6,processed,77
ham and cheese croissant,59,49.5,2.8,9.7,22.5,processed,62
bell red pepper pickled,18,4.9,2.2,1.2,0.4,whole,135
chickpea bean refried,32,24.9,9.8,8.1,1.0,minimally_processed,162
loin pork baked,0,0.2,0.0,20.8,10.2,processed,104
blueberry berry dried,35,10.6,4.8,0.9,0.6,whole,140
poppy seed,6,23.3,14.7,20.7,44.9,minimally_processed,28
minestrone soup homemade,60,18.5,1.4,4.0,7.6,processed,241
skim milk,35,5.3,0.5,4.7,1.0,processed,226
salmon fish stewed,0,0.0,0.0,22.2,5.3,minimally_processed,93
spaghetti squash roasted,75,5.4,2.6,1.1,0.3,whole,128
split pea frozen,46,21.6,7.1,4.6,0.4,minimally_processed,144
drumstick chicken braised,0,0.0,0.0,26.3,8.6,minimally_processed,105
peach canned fruit in syrup,61,20.3,2.8,0.8,0.0,processed,114
breast turkey sliced,0,0.3,0.0,29.2,0.6,minimally_processed,97
button mushroom grilled,11,2.6,1.1,2.7,0.4,whole,70
cantaloupe melon chilled,71,7.6,0.7,0.7,0.2,whole,155
rotisserie chicken braised,0,0.0,0.0,30.8,12.7,minimally_processed,90
leek onion steamed,13,9.0,2.0,1.0,0.2,whole,144
garbanzo bean refried,26,23.9,9.5,8.4,1.4,minimally_processed,186
spinach leafy green pickled,14,4.9,3.0,1.5,0.3,whole,29
naan bread stale,50,53.1,3.3,11.4,2.9,processed,26
sweet and salty trail mix,44,54.0,7.3,11.4,27.9,processed,46
radish root vegetable steamed,37,9.0,3.9,1.4,0.2,whole,124
americano coffee with milk,12,4.0,0.0,0.4,2.3,minimally_processed,238
corn chips baked,62,52.9,7.2,9.2,27.6,ultra_processed,26
blt sandwich wrap,56,55.0,2.0,22.0,29.2,processed,163
andouille sausage stewed,0,1.9,0.0,19.9,21.2,processed,89
whole wheat pancake with syrup,72,52.5,1.7,10.8,6.8,processed,81
ground chicken pan-seared,0,0.0,0.0,29.7,6.7,minimally_processed,100
chocolate waffle,60,50.4,1.6,9.4,11.3,processed,74
sausage pork pan-seared,0,0.2,0.0,24.9,22.5,processed,105
bbq chicken pizza regular crust,60,29.0,2.3,11.1,16.9,processed,101
pork sausage baked,15,0.9,0.0,16.9,30.4,processed,81
valencia orange juiced,44,12.5,2.4,1.1,0.2,whole,129
sweet potato chips fried,59,57.6,3.6,7.1,35.3,ultra_processed,30
tricolor quinoa boiled,53,21.0,2.9,4.1,1.9,minimally_processed,197
black rice steamed,56,25.9,0.5,3.3,0.4,processed,159
thigh chicken smoked,0,0.0,0.0,20.4,1.8,minimally_processed,99
mashed avocado,14,9.9,6.9,2.8,15.2,whole,153
ground turkey roasted,0,0.3,0.0,29.2,1.9,minimally_processed,94
carrot root vegetable roasted,31,8.2,2.1,1.4,0.2,whole,131
kohlrabi cruciferous sauteed,20,6.2,2.6,1.9,0.4,whole,94
pork bacon crispy,0,0.3,0.0,26.9,38.8,processed,15
beef burger single,50,35.1,1.7,27.0,28.5,processed,150
vegetable soup canned,38,8.5,3.2,3.4,7.1,processed,261
kohlrabi cruciferous grilled,19,5.2,3.0,2.8,0.3,whole,86
sweet potato chips salted,70,56.5,6.3,7.8,27.8,ultra_processed,27
wild rice tempeh steamed,16,9.9,0.0,19.0,10.5,processed,94
sweet potato boiled,56,23.0,2.2,2.4,14.7,processed,147
sourdough bread fresh,59,53.7,5.3,13.4,3.4,processed,26
cappuccino coffee hot,27,4.5,0.0,2.7,3.5,minimally_processed,225
olive oil,0,0.0,0.0,0.0,100.0,minimally_processed,13
eel sushi roll with brown rice,55,30.8,2.1,10.2,2.8,processed,109
poblano pepper,15,6.8,2.2,1.0,0.3,whole,134
mustard greens leafy green roasted,12,3.5,2.7,2.7,0.3,whole,28
turkey sausage stewed,7,0.0,0.0,16.8,22.7,processed,77
watermelon melon,66,7.0,0.4,0.8,0.3,whole,157
crab seafood baked,0,2.0,0.0,17.5,0.4,minimally_processed,107
bell green pepper pickled,13,4.7,1.8,1.3,0.4,whole,162
potato salad no dressing,36,15.8,5.4,10.2,13.6,processed,143
pistachio ice cream,49,24.1,0.8,4.5,14.6,processed,69
oysters seafood poached,0,2.4,0.0,24.2,0.6,minimally_processed,92
maitake mushroom sauteed,17,2.4,1.8,2.9,0.5,whole,74
buttermilk pancake plain,68,54.5,3.4,9.9,13.5,processed,80
tenderloin pork pan-seared,0,0.6,0.0,24.4,21.3,minimally_processed,90
mung bean canned,40,27.5,8.4,9.6,1.3,minimally_processed,171
deli turkey braised,0,0.0,0.0,26.5,4.4,minimally_processed,99
tangerine orange,40,12.7,3.0,1.0,0.2,whole,119
sticky rice cooked,94,24.0,2.0,3.0,0.6,processed,154
cream soda soda,72,7.2,0.0,0.0,0.0,ultra_processed,364
silken tofu,19,2.1,1.3,10.2,5.0,processed,104
